location,size,total_sqft,bath,balcony,price
Gollarapalya Hosahalli,2,861,2,1,3450000
7th Phase JP Nagar,3,1420,2,1,10000000
Srirampura,6,1450,6,0,25000000
Electronics City Phase 1,3,1490,3,1,7880000
Bisuvanahalli,3,1075,2,1,4600000
Old Madras Road,3,1425,2,2,9400000
Kalena Agrahara,2,1200,2,1,4000000
Kaggadasapura,3,1280,2,2,5600000
Silver Springs Layout,2,1084,2,2,5000000
Chandapura,2,1015,2,2,2588000
Kanakpura Road,2,1017,2,1,5125000
Haralur Road,2,1027,2,2,4400000
Electronic City Phase II,2,1069,2,2,4500000
Hebbal,2,1349,2,1,9820000
9th Phase JP Nagar,2,1005,2,1,5000000
Jakkur,2,1417,2,3,7500000
TC Palaya,3,1475,3,1,9800000
Maruthi Sevanagar,2,950,2,2,4700000
RMV 2nd Stage,4,2000,4,0,12000000
Giri Nagar,3,880,3,1,14000000
Sarjapur  Road,4,1863,3,2,10400000
Singasandra,2,1010,2,1,2950000
Kalena Agrahara,3,1425,2,1,7000000
Vijayanagar,3,1450,3,0,10000000
Kothanur,3,1847,3,2,10500000
AECS Layout,2,1100,2,3,4500000
Kanakpura Road,1,525,1,1,2600000
Mallasandra,3,1665,3,2,9500000
Begur,4,1664,4,3,6500000
JP Nagar,3,1850,3,3,15000000
Panathur,2,1438,2,3,10000000
Sunder Ram Shetty Nagar,3,1560,3,3,11500000
Yelahanka,2,1350,2,1,5555000
Kanakpura Road,3,1550,3,3,6700000
Malleshpalya,2,1140,2,2,4650000
Srirampura,5,1200,5,2,18000000
Kodathi,2,850,2,2,2700000
Whitefield,2,1280,2,2,7500000
Munnekollal,2,1170,2,2,5200000
Motappa Layout,2,1113,2,1,5100000
Hennur Road,2,1385,2,1,8309000
Electronic City,2,1128,2,1,6500000
Marathahalli,2,1200,2,2,12800000
Akshaya Vana,4,1200,4,3,16500000
Rajaji Nagar,3,2390,3,2,41500000
Giri Nagar,4,2400,4,1,40000000
Haralur Road,3,1464,3,2,5600000
Manayata Tech Park,2,1200,2,2,5500000
Kaval Byrasandra,2,1200,2,2,5200000
Kaggalipura,3,1150,2,1,5500000
Basavanna Nagar,3,1645,3,2,9500000
Sarjapur  Road,2,1000,2,1,6700000
Haralur Road,4,2650,4,2,19800000
6th Phase JP Nagar,2,1192,2,2,7400000
Ulsoor,3,2135,3,2,21500000
Whitefield,2,1173,2,1,5800000
Uttarahalli,2,1020,2,2,4500000
Thigalarapalya,4,3122,6,2,23000000
Somasundara Palya,3,1600,3,3,6400000
T.C PALYA,2,1200,2,0,7900000
Muneshwara Nagar,2,1230,2,3,4800000
 Devarachikkanahalli,2,1250,2,2,4000000
Kalena Agrahara,2,1325,2,2,7600000
7th Phase JP Nagar,3,1850,3,1,15000000
Kanakpura Road,1,525,2,2,2153000
Basaveshwara Nagar,2,1200,2,2,6500000
Bull Temple Road,3,1350,2,0,14000000
Bommasandra,3,1260,3,1,4936000
Prashanth Nagar,3,1800,3,0,15000000
Suragajakkanahalli,3,11,3,2,7400000
Ardendale,2,1100,2,1,4325000
Harlur,2,1508,2,1,7700000
Sampigehalli,3,1592,3,2,7500000
Akshaya Nagar,2,1388,2,3,5700000
Electronic City Phase II,1,630,1,1,2835000
RMV,3,2000,3,2,36500000
Banashankari3rd stage bigbazar,3,1762,3,1,12500000
Bagalur Main Road,2,950,2,2,5000000
Kodihalli,4,3252,5,3,33500000
Magadi Road,2,1116,2,1,5000000
Narayanapura,2,1308,2,2,8904000
MS Pallya,3,1200,3,0,9000000
Binny Mills Employees Colony,4,1500,4,2,23000000
Bannerghatta Road,1,500,1,1,1850000
Hennur,2,1075,2,1,5200000
Chandapura,1,530,1,0,1166000
Bellandur,2,1205,2,3,6600000
5th Phase JP Nagar,2,1075,2,2,6000000
KR Puram,2,930,2,2,3900000
Balagere,2,1380,2,1,6000000
Hebbal,4,2483,5,2,21200000
Kodigehaali,2,1166,2,2,5500000
Bannerghatta Road,2,1050,2,1,6500000
Gopalapura,3,2024,3,2,27500000
Begur Road,2,1200,2,2,4680000
Lakshminarayana Pura,3,1600,2,1,10800000
Billekahalli,3,1935,3,2,11000000
8th Phase JP Nagar,1,451,1,0,2990000
Electronic City,3,1800,3,2,9500000
Jalahalli,3,1400,3,0,7700000
Hegde Nagar,3,1801,3,2,11500000
Mahadevpura,2,1451,2,2,9000000
Anekal,2,1200,1,1,3600000
Begur Road,2,1160,2,2,4400000
Kengeri,2,1000,2,1,2500000
Kanakpura Road,2,950,2,1,4000000
"Hoodi Circle, ",3,1629,3,2,7900000
Vijayanagar,3,1580,2,0,13400000
Vijayanagar,3,1826,3,2,12100000
7th Phase JP Nagar,2,1245,2,1,9400000
Raja Rajeshwari Nagar,2,1145,2,2,4579000
Sompura,2,825,2,1,3300000
Yeshwanthpur,3,1693,3,3,10800000
Electronics City Phase 1,2,1113,2,2,5300000
Ashirvad Colony,2,1460,2,1,5800000
Doddathoguru,2,1050,2,1,3200000
Dodda Nekkundi,2,1260,2,2,5500000
K N Extension,6,700,3,2,12000000
Hosur Road,2,1656,2,1,12000000
Chandapura,3,1208,3,1,4500000
Whitefield,3,1910,3,2,16100000
Whitefield,4,3252,4,1,23000000
Battarahalli,2,1200,2,1,6500000
Gokula Extension,4,1200,4,1,17500000
7th Phase JP Nagar,2,1175,2,1,8200000
Kamakshipalya,2,1000,2,0,16500000
Bannerghatta Road,4,1200,2,0,12500000
Rajaji Nagar,3,2390,3,2,41000000
Rajaji Nagar,7,12000,6,3,220000000
Sultan Palaya,2,550,1,1,6200000
Sanne Amanikere,2,1185,2,2,3800000
Kengeri,2,750,2,1,3800000
Mahalakshmi Layout,6,1200,7,3,25000000
Kanakpura Road,3,1550,3,3,6450000
Amco Colony,3,1760,3,2,8800000
Billekahalli,2,1125,2,2,6200000
Nagarbhavi,3,1350,3,2,15000000
Anandapura,2,1000,2,1,5500000
Bommasandra Industrial Area,2,1090,2,2,3148000
TC Palaya,2,1200,2,0,6000000
Budigere,3,1991,4,2,10300000
Bommasandra,2,1060,2,1,2650000
Ambalipura,2,1105,2,1,7500000
Hoodi,2,985,2,2,6700000
Chandapura,6,1533,5,3,8500000
Balagere,3,1590,3,2,7900000
CV Raman Nagar,2,1120,2,2,5500000
Samethanahalli,2,1069,2,1,5500000
Marathahalli,3,1933,3,2,14000000
Hosur Road,2,1194,2,0,6900000
Brookefield,2,1150,2,3,6900000
Yelenahalli,2,1240,2,2,4712000
Raja Rajeshwari Nagar,2,1419,2,2,4810000
7th Phase JP Nagar,8,1200,8,2,25000000
Richmond Town,3,2150,4,2,24000000
Suddaguntepalya,3,1450,3,2,5500000
Udayapur Village,3,1630,3,2,6829000
Dasanapura,2,708,1,1,4000000
Kasavanhalli,3,1000,4,3,11000000
Whitefield,4,11890,4,3,70000000
Bellandur,2,1250,2,1,7600000
7th Phase JP Nagar,3,1400,2,1,9500000
Sarjapur  Road,3,1670,2,3,5700000
Ardendale,3,1750,3,2,10000000
Vittasandra,2,1404,2,1,7100000
Hoodi,3,1715,2,2,9500000
Electronic City,1,630,1,1,3465000
Harlur,3,1752,3,2,13500000
Hulimavu,3,1650,3,2,7800000
Raja Rajeshwari Nagar,2,1295,2,1,5547000
Giri Nagar,3,1800,3,2,25200000
Sarjapur  Road,2,1346,2,1,7403000
Thippasandra,4,1200,4,2,20000000
Hormavu,2,1150,2,2,5500000
Chikkabidarakallu,4,3309,4,3,32500000
Chandapura,3,1190,2,2,3035000
AECS Layout,3,1620,3,2,9800000
Marathahalli,2,950,2,1,4696000
1 Giri Nagar,1,5000,9,3,36000000
Harlur,3,2450,3,0,12000000
Electronic City Phase II,3,1220,2,1,3522999
Hoysalanagar,2,850,2,1,3000000
Padmanabhanagar,2,1020,2,2,6300000
Chikkalasandra,2,1100,2,2,5000000
Defence Colony,2,1150,2,2,12600000
Hebbal,3,1760,2,2,13000000
Ambalipura,3,1800,3,3,11000000
Akshaya Nagar,2,1070,2,1,5400000
2nd Stage Nagarbhavi,4,1500,4,2,22000000
Vidyaranyapura,2,1440,2,0,9500000
Amruthahalli,2,900,2,1,4000000
ITI Employees Layout,4,1200,4,1,23000000
Whitefield,2,1130,2,1,4216000
Koramangala,2,1320,2,1,16500000
Kodigehalli,2,1270,2,1,9800000
Patelappa Layout,2,1200,2,1,6200000
Ring Road Nagarbhavi,4,4800,4,2,23500000
NS Palya,2,1200,2,1,7400000
Subramanyapura,2,929,2,0,5017000
RMV 2nd Stage,4,1150,4,2,26000000
Basavangudi,4,1125,4,3,18000000
Kenchenahalli,5,500,3,2,6500000
3rd Block Hrbr Layout,5,1200,5,2,19000000
KUDLU MAIN ROAD,3,1464,3,2,5600000
7th Phase JP Nagar,4,3600,4,3,40000000
Bank Avenue,4,2000,4,2,9900000
Chikkalasandra,2,1208,2,1,4900000
Hebbal Kempapura,2,1130,2,2,6000000
Surabhi Layout,3,1753,3,2,12000000
Old Madras Road,5,4500,7,3,33700000
Banjara Layout,3,600,3,2,5800000
Hoodi,2,1196,2,2,9442000
5th Phase JP Nagar,2,1150,3,3,5250000
Electronic City,2,1128,2,1,6300000
Omkar Nagar,2,1000,2,1,5300000
Yelahanka,2,1035,2,1,4500000
Kereguddadahalli,2,950,2,1,3200000
Bisuvanahalli,3,1075,2,1,3600000
Whitefield,2,1040,2,1,4850000
Maragondanahalli,2,720,2,1,4500000
Lingadheeranahalli,3,1511,3,1,9500000
Silk Board,3,1300,3,1,5800000
Hoodi,3,1545,3,1,6875000
Shampura,1,375,2,0,2600000
Vidyaranyapura,2,1062,2,3,3800000
Kada Agrahara,2,1115,2,1,4000000
JP Nagar,2,1000,2,1,3500000
Kambipura,2,883,2,1,4500000
Sarjapur  Road,2,1195,2,1,7000000
BHEL Layout,4,1200,3,1,16500000
Medahalli,1,700,1,0,4100000
Vittasandra,2,1246,2,1,6700000
8th Phase JP Nagar,4,660,4,2,9000000
Banashankari Stage III,4,8500,4,2,14500000
Kashi Nagar,4,1600,4,1,8000000
Haralur Road,4,2805,5,3,15400000
Begur Road,3,1584,3,2,6500000
Sector 7 HSR Layout,4,3000,5,1,27500000
Hosur Road,3,1175,2,2,4800000
"Yemlur, Old Airport Road, ",3,1595,3,2,11500000
VHBCS Layout,2,1353,2,2,11000000
Electronic City,3,1599,3,2,12500000
Whitefield,2,1150,2,1,7000000
Jakkur,4,5230,6,1,46500000
KR Puram,2,1155,2,2,4274000
Ittamadu,1,1200,2,0,8500000
Electronic City Phase II,2,1000,2,1,2500000
Thanisandra,4,3000,4,2,12000000
Rajiv Nagar,3,1867,3,1,16000000
Ramagondanahalli,2,1251,2,1,4700000
Gattahalli,2,1028,2,1,4550000
Arekere,2,1222,2,2,4500000
Bannerghatta Road,3,1170,2,1,6600000
Hebbal,3,2400,4,1,24500000
Ramanjaneyanagar,3,1385,2,2,4848000
HSR Layout,2,1372,2,1,6800000
Magadi Road,3,1282,2,2,4900000
Mico Layout,9,5000,9,3,21000000
7th Block Jayanagar,5,3000,3,1,52800000
Kanakpura Road,2,1135,2,1,3972999
Whitefield,3,1768,3,2,10100000
Byatarayanapura,3,1325,2,1,9000000
Electronic City,3,1599,3,2,9900000
Whitefield,3,1500,3,1,6195000
2nd Phase JP Nagar,3,2610,3,0,49900000
Uttarahalli,2,1286,2,2,6300000
Kammanahalli,5,2845,5,1,14000000
K G Colony,3,1600,2,2,5000000
Hebbal,3,3450,5,2,26000000
Munnekollal,2,1102,2,2,5367000
Yelahanka,2,1350,2,2,5400000
Banashankari,3,1200,2,2,4200000
Hosa Road,6,1300,6,0,14500000
Herohalli,2,1800,1,1,8000000
Chikkabanavar,2,950,2,1,4000000
Kanakpura Road,1,525,1,1,2725000
Attibele,2,656,2,1,2500000
Marathahalli,4,1780,4,3,17500000
3rd Block Hrbr Layout,2,1056,2,1,8000000
Bannerghatta Road,1,595,1,1,3332000
Ittamadu,2,1080,2,2,5000000
7th Phase JP Nagar,3,2225,3,1,16000000
Bommasandra,2,1126,2,1,2815000
Electronics City Phase 1,3,1490,3,1,8400000
HRBR Layout,4,2000,4,1,30000000
Sarjapur  Road,3,1550,3,3,10000000
Whitefield,3,1600,3,2,8600000
Ashwini layout,2,1160,2,1,5500000
Whitefield,4,4144,4,3,31500000
Sarjapur  Road,3,2100,3,2,12500000
Vittasandra,2,1404,2,1,6930000
Sarjapur  Road,4,2230,4,3,22500000
Marathalli bridge,3,1544,3,2,12000000
Banashankari Stage III,3,1305,2,1,5870000
Marathahalli,2,1230,2,2,8000000
T.C PALYA,2,1200,2,0,6500000
Harlur,3,1460,3,1,7300000
Gottigere,2,967,2,3,4500000
Byatarayanapura,1,540,1,1,3600000
Hormavu,1,715,1,2,4600000
Whitefield,3,2500,3,2,31300000
Dooravani Nagar,3,1578,3,1,18000000
Mysore Road,2,1020,2,1,4895000
Jigani,2,1020,2,1,4000000
Koramangala,2,1253,2,1,10200000
JCR Layout,2,1180,2,2,4200000
Nehru Nagar,2,961,2,2,3800000
Kanakapura,3,1419,3,3,7500000
Harlur,3,1709,3,2,15000000
Papareddipalya,2,1600,2,0,11500000
Venkatapura,1,416,1,1,1850000
Sanjay nagar,2,1100,2,2,9800000
HSR Layout,3,1430,2,1,6500000
Sneha Colony,2,1260,2,2,4500000
RMV Extension,3,1630,3,2,8500000
Sarjapur  Road,3,1249,3,2,4471000
Kalena Agrahara,3,1450,2,3,8500000
Konanakunte,3,2791,3,1,22300000
Hosapalya,1,600,1,0,9000000
Ashwini layout,1,834,1,1,6000000
Doddagubbi,3,1125,4,1,7000000
Arekere,3,2060,3,2,14000000
Malleshwaram,7,12000,7,3,220000000
Gottigere,2,891,2,1,2500000
Raja Rajeshwari Nagar,2,1133,2,1,4907000
Bisuvanahalli,3,1075,2,1,3700000
Sector 6 HSR Layout,4,3000,5,2,26000000
Brookefield,4,2440,5,2,42500000
Vidyaranyapura,2,1200,2,2,5500000
Thanisandra,2,1075,2,2,4580000
Kaggadasapura,2,1140,2,2,4000000
Margondanahalli,5,940,4,2,15000000
ITI Layout,6,2160,5,1,25000000
Raja Rajeshwari Nagar,2,1090,2,1,4200000
R.T. Nagar,4,1500,4,1,7000000
Whitefield,4,4104,4,2,36000000
Whitefield,3,1790,3,2,10000000
Hebbal,3,1920,3,2,13400000
HRBR Layout,2,1374,2,2,9500000
Bannerghatta Road,3,1445,3,2,9500000
Kanakapura,1,711,1,1,3600000
Tumkur Road,3,1500,3,3,9500000
Whitefield,3,1720,3,3,10000000
Vasanthapura,3,1400,3,2,6000000
Kundalahalli,2,1030,2,2,4900000
Mysore Road,2,1200,2,1,8500000
Hosahalli,3,1375,3,2,7000000
Hegde Nagar,2,1050,1,2,5600000
Jalahalli,3,2250,3,2,16000000
Bellandur,2,1000,2,2,5000000
Jalahalli West,1,469,1,0,2500000
Marathahalli,4,3800,4,3,25000000
Kambipura,2,883,2,1,2900000
GM Palaya,3,1820,2,3,8600000
Singasandra,3,1440,2,3,6500000
near Ramanashree California resort,6,3600,4,1,16000000
Malleshwaram,4,2500,5,2,32500000
Mahadevpura,2,1225,2,2,4800000
"6th block banashankari 3rd stage, 100 feet ORR",3,4000,3,1,66000000
Chikkalasandra,2,875,2,3,5280000
Jalahalli East,1,750,1,2,4000000
6th Phase JP Nagar,2,1180,2,3,8000000
Haralur Road,2,1194,2,2,4700000
Hennur Road,3,1500,2,2,6200000
Poornapragna Housing Society Layout,2,1160,2,2,5220000
Hosakerehalli,3,2378,3,1,26200000
Sarjapur,2,1128,2,1,6000000
Hebbal,3,1500,3,1,15000000
Huskur,3,1220,2,1,3522999
Sarjapur  Road,2,1210,2,2,5800000
Kanakpura Road,3,1100,2,1,5800000
Bommasandra,3,1200,3,2,4600000
Haralur Road,4,3385,5,2,26000000
Nagondanahalli,3,1641,3,2,6600000
Horamavu Agara,2,1200,2,1,4500000
Raja Rajeshwari Nagar,2,1260,2,1,6739000
Mahadevpura,3,1720,3,3,7800000
Yelahanka,2,1210,2,1,4598000
Indira Nagar,4,2200,4,2,20000000
Bisuvanahalli,3,1075,2,1,4500000
Thanisandra,3,1702,3,2,13000000
Shanthala Nagar,2,1630,2,2,20000000
Raja Rajeshwari Nagar,2,1141,2,2,3854999
